EMP_FIL_CODIGO;PRI_ID;PII_PRO_CODIGO;PII_SALDOANTERIOR;PII_INVENTARIO;PII_SALDOATUAL;PII_ID;PII_USU_CODIGO;PII_DATASISTEMA;PII_PLE_ORIGEM;PII_PLE_DESTINO;PII_CODIGO_BARRA;PII_ROC_CODIGO;PII_VLR_UNITARIO;PII_VLR_TOTAL;PII_FICHA;PII_SETOR;PII_PESO
1;3;87.778;0,00;17,00;17,00;6.023;12;02.07.2024 00:00;1;;;;0,00;0,02;;;87.778,00
1;3;98.004;0,00;9,00;9,00;6.024;12;02.07.2024 00:00;1;;;;0,00;0,01;;;98.004,00
1;3;4.026;0,00;32,00;32,00;6.025;12;02.07.2024 00:00;1;;;;0,00;0,03;;;4.026,00
1;3;474;0,00;5,00;5,00;6.026;12;02.07.2024 00:00;1;;;;0,00;0,01;;;474,00
1;3;4.238;0,00;100,00;100,00;6.027;12;02.07.2024 00:00;1;;;;0,00;0,10;;;4.238,00
